run_mode,suite_name,environment_name,environment_tier,sample_size,state_dimension,coverage_setting,policy_shift_setting,reward_noise_setting,misspecification_setting,baseline_learner,learner_variant,learner_quality_regime,calibration_difficulty,main_figure_role,calibrated,calibration_protocol,calibrator,calibration_target,split_fraction,train_fraction,coverage_stratum,n_replications,mean_coverage_stratum_error,coverage_stratum_error_mc_se,mean_coverage_stratum_calibration_error,coverage_stratum_calibration_error_mc_se,mean_coverage_stratum_count,mean_coverage_stratum_ratio,failure_rate,eligible_fraction
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,True,cross,isotonic,value_bellman,0.8,0.8,4,100,1.0755136796455118,0.08848744750906459,1.0356987436281273,0.08814186425816367,80.0,1.8137971344323844,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,True,cross,linear,value_bellman,0.8,0.8,0,100,1.5139520691474906,0.20385549770716221,1.4702501762993416,0.20152628207078932,80.0,0.405329645540658,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,True,cross,linear,value_bellman,0.8,0.8,1,100,1.034793536337486,0.12204232226070606,0.9909303275362646,0.12189583418360664,80.0,0.7466196372534409,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,True,cross,linear,value_bellman,0.8,0.8,2,100,0.789675678061546,0.07145610207997788,0.7531097032994648,0.07218958436940211,80.0,0.9495664681179267,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,True,cross,linear,value_bellman,0.8,0.8,3,100,0.7847543861994353,0.06633129719664896,0.7449110167232184,0.06678386056172791,80.0,1.1098148266528403,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,True,cross,linear,value_bellman,0.8,0.8,4,100,0.8888143948087813,0.07120985102901128,0.8476107755276334,0.07095902651405443,80.0,1.8137971344323844,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,0,100,1.7630114946906195,0.2918774453495482,1.718658947718306,0.289187056844751,80.0,0.405329645540658,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,1,100,1.233107868114929,0.17087557541496495,1.1882331253240104,0.17065703053633546,80.0,0.7466196372534409,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,2,100,0.9608086359721625,0.10293707756013355,0.9246751206870062,0.10385319325137994,80.0,0.9495664681179267,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_misspecified,misspecified,affine_miscalibrated,main,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,3,100,0.9437696397863037,0.0849233640481655,0.9049553918609571,0.08574141511429759,80.0,1.1098148266528403,0.0,1.0
